Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
ex1_226.qasm,119.0,52.0,14.0,11.0,3.7583999633789062
graycode6_47.qasm,25.0,17.0,5.0,5.0,3.2061119079589844
4gt11_84.qasm,130.0,71.0,16.0,16.0,3.1854097843170166
ex-1_166.qasm,111.0,67.0,15.0,15.0,2.7940988540649414
4mod5-v0_20.qasm,101.0,58.0,14.0,13.0,2.874256134033203
4mod5-v1_22.qasm,115.0,63.0,16.0,15.0,2.8857028484344482
ham3_102.qasm,119.0,68.0,16.0,16.0,2.8853819370269775
mod5d1_63.qasm,153.0,80.0,21.0,19.0,3.2257258892059326
4gt11_83.qasm,173.0,94.0,23.0,22.0,3.162306070327759
4mod5-v1_24.qasm,247.0,132.0,32.0,30.0,3.57670521736145
rd32-v1_68.qasm,174.0,95.0,22.0,22.0,3.113252878189087
mod5mils_65.qasm,297.0,144.0,35.0,32.0,4.078095197677612
4mod5-v0_19.qasm,295.0,133.0,37.0,31.0,3.5893161296844482
rd32-v0_66.qasm,172.0,94.0,22.0,22.0,3.1607322692871094
alu-v0_27.qasm,248.0,128.0,31.0,28.0,3.7059032917022705
alu-v1_29.qasm,248.0,128.0,31.0,28.0,3.6809680461883545
alu-v2_33.qasm,329.0,162.0,38.0,34.0,4.2864110469818115
3_17_13.qasm,202.0,116.0,28.0,28.0,3.1145777702331543
alu-v1_28.qasm,249.0,130.0,31.0,29.0,3.3271570205688477
alu-v3_35.qasm,286.0,133.0,35.0,30.0,3.4172677993774414
alu-v4_37.qasm,309.0,139.0,35.0,30.0,3.517362117767334
4gt11_82.qasm,332.0,176.0,39.0,38.0,4.551500082015991
decod24-v2_43.qasm,331.0,203.0,52.0,52.0,3.766819715499878
miller_11.qasm,283.0,170.0,42.0,42.0,3.427577018737793
decod24-v0_38.qasm,306.0,173.0,39.0,39.0,3.6399002075195312
alu-v3_34.qasm,359.0,175.0,45.0,41.0,4.2406017780303955
mod5d2_64.qasm,418.0,230.0,52.0,51.0,4.293042898178101
4gt13_92.qasm,400.0,210.0,55.0,50.0,4.33881688117981
4gt13-v1_93.qasm,504.0,262.0,62.0,58.0,5.308665990829468
4mod5-bdd_287.qasm,795.0,331.0,95.0,80.0,5.439054012298584
4mod5-v0_18.qasm,603.0,299.0,72.0,63.0,5.875890731811523
one-two-three-v2_100.qasm,457.0,223.0,57.0,52.0,4.698582887649536
one-two-three-v3_101.qasm,464.0,247.0,60.0,56.0,4.728125095367432
4mod5-v1_23.qasm,546.0,262.0,67.0,61.0,4.820929050445557
decod24-bdd_294.qasm,653.0,292.0,76.0,65.0,5.452306032180786
rd32_270.qasm,786.0,388.0,88.0,81.0,6.3167431354522705
4gt5_75.qasm,683.0,316.0,80.0,69.0,6.298087120056152
alu-v0_26.qasm,638.0,299.0,77.0,67.0,5.313735246658325
decod24-v1_41.qasm,573.0,295.0,72.0,67.0,4.895013093948364
alu-bdd_288.qasm,959.0,347.0,106.0,74.0,6.43589186668396
4gt5_76.qasm,725.0,320.0,91.0,75.0,6.744842052459717
4gt13_91.qasm,786.0,408.0,96.0,92.0,6.891833066940308
alu-v4_36.qasm,1007.0,511.0,125.0,115.0,6.673957824707031
4gt13_90.qasm,883.0,448.0,106.0,100.0,7.826427936553955
4gt5_77.qasm,1026.0,476.0,120.0,103.0,7.5684778690338135
one-two-three-v1_99.qasm,1115.0,556.0,131.0,121.0,7.81694483757019
rd53_138.qasm,1399.0,414.0,153.0,90.0,7.864777088165283
pf1_10_before.qasm,1850.0,771.0,196.0,163.0,12.760234832763672
decod24-v3_45.qasm,1090.0,565.0,132.0,122.0,7.199333190917969
one-two-three-v0_98.qasm,1080.0,541.0,131.0,118.0,8.488752841949463
4gt10-v1_81.qasm,1132.0,543.0,137.0,120.0,7.175906658172607
aj-e11_165.qasm,1144.0,619.0,143.0,138.0,7.735651731491089
alu-v2_32.qasm,1278.0,635.0,154.0,142.0,10.090965986251831
4mod7-v1_96.qasm,1206.0,602.0,147.0,132.0,9.25312614440918
4mod7-v0_94.qasm,1280.0,630.0,151.0,136.0,9.22684383392334
mini_alu_305.qasm,1996.0,796.0,246.0,177.0,11.653942108154297
mod10_176.qasm,1561.0,767.0,182.0,162.0,9.747477054595947
4gt4-v0_80.qasm,1490.0,735.0,174.0,161.0,11.821955919265747
cnt3-5_179.qasm,1633.0,461.0,183.0,96.0,10.777352809906006
4gt12-v0_88.qasm,1461.0,723.0,180.0,162.0,10.49595594406128
ising_model_10.qasm,572.0,98.0,95.0,21.0,6.052909851074219
qft_10.qasm,1605.0,409.0,132.0,66.0,10.215610980987549
sys6-v0_111.qasm,2091.0,698.0,232.0,144.0,13.146850109100342
4_49_16.qasm,1787.0,907.0,223.0,203.0,11.64172101020813
4gt12-v1_89.qasm,1791.0,863.0,218.0,188.0,10.035996913909912
rd73_140.qasm,2157.0,760.0,245.0,160.0,11.691572904586792
0410184_169.qasm,2627.0,900.0,286.0,188.0,15.217959880828857
4gt4-v0_79.qasm,2103.0,957.0,247.0,208.0,13.822643041610718
hwb4_49.qasm,1784.0,936.0,222.0,206.0,13.319979906082153
mod10_171.qasm,1937.0,962.0,233.0,208.0,13.769243955612183
4gt4-v0_78.qasm,2223.0,1009.0,264.0,220.0,14.900284051895142
4gt12-v0_87.qasm,2082.0,993.0,252.0,217.0,13.3212571144104
4gt4-v0_72.qasm,2091.0,949.0,249.0,208.0,13.368085145950317
4gt12-v0_86.qasm,2194.0,1036.0,260.0,223.0,14.014616966247559
4gt4-v1_74.qasm,2037.0,999.0,252.0,225.0,13.180270910263062
ising_model_13.qasm,2792.0,625.0,293.0,117.0,14.206196308135986
pf1_20_before.qasm,4854.0,1734.0,492.0,357.0,23.763288021087646
pf1_20_after.qasm,4238.0,1767.0,434.0,362.0,30.664759159088135
pf2_10_before.qasm,2820.0,1239.0,319.0,280.0,20.510174989700317
sym6_316.qasm,3278.0,1098.0,354.0,232.0,17.366389989852905
rd53_311.qasm,3683.0,1066.0,384.0,227.0,16.32523202896118
mini-alu_167.qasm,2412.0,1218.0,283.0,267.0,16.15408492088318
one-two-three-v0_97.qasm,2138.0,1077.0,262.0,238.0,11.373409986495972
rd53_135.qasm,2732.0,1175.0,318.0,251.0,15.07404637336731
sym9_146.qasm,3446.0,1098.0,383.0,226.0,19.268908977508545
decod24-enable_126.qasm,3128.0,1429.0,379.0,313.0,18.405712127685547
ham7_104.qasm,2851.0,1317.0,335.0,283.0,17.475754737854004
ising_model_16.qasm,2788.0,632.0,316.0,125.0,14.652817726135254
mod8-10_178.qasm,2854.0,1439.0,343.0,315.0,18.292092084884644
rd84_142.qasm,3704.0,1262.0,406.0,263.0,19.92163395881653
ex3_229.qasm,3148.0,1567.0,379.0,346.0,16.695163011550903
4gt4-v0_73.qasm,3013.0,1522.0,364.0,332.0,19.84703302383423
pf1_30_after.qasm,6409.0,2583.0,661.0,535.0,44.09696626663208
pf1_30_before.qasm,8098.0,2586.0,822.0,520.0,44.167322874069214
mod8-10_177.qasm,3191.0,1605.0,403.0,362.0,20.557414770126343
alu-v2_31.qasm,3580.0,1739.0,429.0,370.0,21.26411509513855
rd53_131.qasm,3868.0,1844.0,456.0,400.0,20.687335968017578
C17_204.qasm,3970.0,1818.0,468.0,393.0,25.168548822402954
cnt3-5_180.qasm,5557.0,1792.0,577.0,370.0,24.80562400817871
alu-v2_30.qasm,4109.0,2024.0,490.0,439.0,26.120734214782715
mod5adder_127.qasm,4338.0,2123.0,527.0,471.0,25.191174030303955
qft_16.qasm,6554.0,1202.0,549.0,192.0,32.08197832107544
pf1_40_before.qasm,12231.0,4057.0,1202.0,816.0,65.24017119407654
pf2_20_before.qasm,8481.0,3166.0,898.0,661.0,41.317371129989624
pf1_40_after.qasm,10131.0,4056.0,1004.0,830.0,65.69780397415161
rd53_133.qasm,4932.0,2383.0,585.0,513.0,28.20389223098755
pf2_10_after.qasm,5788.0,2354.0,667.0,503.0,35.60446810722351
majority_239.qasm,5400.0,2527.0,635.0,551.0,28.998162746429443
ex2_227.qasm,6091.0,2870.0,693.0,610.0,34.8607280254364
cm82a_208.qasm,6423.0,2524.0,725.0,537.0,31.470932006835938
pf1_50_before.qasm,15231.0,4784.0,1511.0,959.0,82.99475002288818
pf1_50_after.qasm,11956.0,4439.0,1219.0,918.0,81.59857320785522
sf_274.qasm,6156.0,3024.0,755.0,669.0,39.33430814743042
sf_276.qasm,5620.0,2922.0,720.0,665.0,31.010271072387695
pf2_30_before.qasm,15436.0,4971.0,1593.0,1013.0,89.32976627349854
con1_216.qasm,12947.0,5143.0,1332.0,1046.0,71.84908390045166
wim_266.qasm,9867.0,4167.0,1116.0,885.0,53.913735151290894
rd53_130.qasm,9696.0,4303.0,1110.0,911.0,58.09612989425659
pf2_40_before.qasm,23715.0,7736.0,2361.0,1565.0,152.10012412071228
pf2_20_after.qasm,12579.0,4452.0,1404.0,959.0,78.93124389648438
f2_232.qasm,10550.0,4844.0,1228.0,1052.0,65.11548590660095
cm152a_212.qasm,9855.0,4658.0,1183.0,1012.0,66.27998280525208
rd53_251.qasm,11317.0,5290.0,1331.0,1137.0,63.31851601600647
hwb5_53.qasm,11070.0,5448.0,1326.0,1180.0,69.2832899093628
pf2_50_before.qasm,28587.0,8906.0,2864.0,1788.0,191.84541201591492
pf4_10_before.qasm,11510.0,5692.0,1375.0,1263.0,91.36678314208984
cm42a_207.qasm,15861.0,7100.0,1850.0,1527.0,115.59096193313599
pm1_249.qasm,15833.0,7157.0,1831.0,1518.0,97.78783011436462
pf2_30_after.qasm,21783.0,7437.0,2387.0,1590.0,157.35511112213135
dc1_220.qasm,19006.0,8294.0,2171.0,1753.0,190.5374240875244
squar5_261.qasm,21637.0,9173.0,2416.0,1914.0,220.0874960422516
pf2_40_after.qasm,33879.0,11662.0,3575.0,2427.0,386.1642451286316
pf4_20_before.qasm,31825.0,12655.0,3585.0,2738.0,350.527606010437
pf4_10_after.qasm,23088.0,9672.0,2768.0,2138.0,221.39074420928955
pf2_50_after.qasm,44465.0,14591.0,4610.0,3005.0,574.2849111557007
sqrt8_260.qasm,29606.0,12903.0,3363.0,2726.0,285.28697085380554
z4_268.qasm,30081.0,13297.0,3403.0,2783.0,239.72984170913696
radd_250.qasm,31425.0,13852.0,3567.0,2937.0,217.7909059524536
adr4_197.qasm,34418.0,14986.0,3846.0,3150.0,187.0317039489746
sym6_145.qasm,35255.0,16544.0,4064.0,3513.0,244.60537695884705
pf4_30_before.qasm,59053.0,20842.0,6388.0,4406.0,640.715469121933
misex1_241.qasm,48490.0,21606.0,5474.0,4550.0,578.414626121521
rd73_252.qasm,48751.0,22044.0,5619.0,4661.0,575.4559819698334
pf4_20_after.qasm,51967.0,18960.0,6001.0,4133.0,648.102245092392
cycle10_2_110.qasm,,,,,
hwb6_56.qasm,56846.0,27524.0,6732.0,5896.0,534.2905142307281
square_root_7.qasm,,,,,
pf4_30_after.qasm,,,,,
ham15_107.qasm,,,,,
dc2_222.qasm,,,,,
